design,F1,F2,y
1,1,1,3.938372254
1,1,1,2.245355927
1,1,1,2.700964895
1,1,1,3.108468173
1,1,1,3.000873275
1,1,1,4.954510837
1,1,1,2.146187779
1,1,1,4.397127261
1,1,1,2.61063654
1,1,1,2.832698694
1,1,1,2.565202103
1,1,1,1.185823001
1,1,1,3.837430841
1,1,1,3.128762584
1,1,1,3.178673328
1,1,1,2.303734021
1,1,1,2.57292991
1,1,1,2.576692161
1,1,1,2.794404243
1,1,1,4.133826859
1,1,1,2.341963347
1,1,1,3.109411587
1,1,1,3.941972365
1,1,1,2.746824306
1,1,1,3.236143012
1,1,1,1.663732149
1,1,1,2.100083651
1,1,1,2.972799312
1,1,1,4.415436816
1,1,1,2.763154677
1,1,1,1.964983881
1,1,1,2.839010321
1,1,1,2.705629984
1,1,1,2.013654749
1,1,1,3.620526282
1,1,1,3.27186486
1,1,1,2.026883554
1,1,1,1.307301688
1,1,1,4.085592427
1,1,1,3.599631669
1,1,1,3.250225279
1,1,1,3.282144842
1,1,1,2.40920201
1,1,1,2.84638771
1,1,1,3.64374621
1,1,1,2.27560855
1,1,1,4.802992739
1,1,1,4.337964151
1,1,1,3.75441029
1,1,1,2.126717533
2,1,2,5.063643843
2,1,2,5.548913815
2,1,2,6.414272236
2,1,2,4.171152173
2,1,2,4.62536846
2,1,2,5.315430228
2,1,2,5.901812398
2,1,2,6.268170626
2,1,2,4.446239618
2,1,2,4.019038605
2,1,2,4.59937294
2,1,2,4.57986547
2,1,2,6.844458932
2,1,2,3.365112777
2,1,2,4.717011111
2,1,2,5.063114042
2,1,2,5.445638528
2,1,2,4.211509742
2,1,2,4.556139796
2,1,2,4.627491449
2,1,2,5.332264057
2,1,2,2.831863876
2,1,2,4.867118496
2,1,2,4.294013058
2,1,2,4.681501963
2,1,2,4.526524341
2,1,2,4.498720407
2,1,2,5.229676194
2,1,2,3.497706122
2,1,2,4.84372731
2,1,2,5.709673557
2,1,2,4.63075022
2,1,2,4.946020901
2,1,2,5.212912558
2,1,2,5.011348436
2,1,2,4.788318333
2,1,2,5.362510375
2,1,2,3.015386699
2,1,2,6.406143659
2,1,2,4.575282484
2,1,2,5.456246285
2,1,2,3.919057005
2,1,2,3.728276117
2,1,2,4.544398194
2,1,2,4.093972582
2,1,2,5.629486811
2,1,2,4.265174002
2,1,2,4.04834744
2,1,2,4.322991562
2,1,2,3.558963273
3,1,3,5.00515195
3,1,3,4.609614539
3,1,3,7.508415546
3,1,3,4.901532997
3,1,3,4.452637679
3,1,3,6.773057822
3,1,3,4.331241481
3,1,3,4.91627931
3,1,3,5.699055602
3,1,3,2.975633551
3,1,3,4.196073008
3,1,3,4.736559383
3,1,3,4.38247105
3,1,3,5.445677512
3,1,3,5.248484448
3,1,3,6.850892158
